city,population
Bridgeville,4622
Warrington township,4611
Edgmont,4606
Brecknock township,4599
Avalon,4588
Caernarvon township,4586
Granville township,4579
Strasburg township,4573
East Petersburg,4571
West Reading,4543
Towamensing,4536
Jackson township,4536
Jim Thorpe,4529
Washington township,4521
Kiskiminetas,4516
Sellersville,4515
West Penn,4514
Sadsbury township,4506
Hummelstown,4505
Donora,4500
Jessup borough,4488
Narberth,4488
German,4485
Hamburg,4474
Peters township,4468
Mahoning township,4457
Newport township,4456
Pocopson,4455
Franklin township,4442
Honesdale,4438
Jenkins,4436
Greene township,4435
Shippensburg borough,4415
Franklin township,4404
Minersville,4400
Chalfont,4396
Summit township,4396
Millcreek township,4384
Washington township,4375
McKean township,4370
Center township,4370
White Deer,4359
Beaver borough,4352
Smithfield township,4342
Scottdale,4337
Shippensburg township,4312
Mahoning township,4307
Glassport,4301
Clarion borough,4295
Caernarvon township,4290
Laureldale,4286
Sinking Spring,4275
Delaware township,4271
Boyertown,4257
Larksville,4252
Slatington,4250
Shenandoah,4246
Lynn,4245
Greencastle,4244
Forty Fort,4233
Aldan,4210
Smith,4198
Tarentum,4187
Monroe township,4186
North Manheim,4181
Ralpho,4175
Charleroi,4174
Dallastown,4174
Centre township,4165
Connoquenessing township,4165
Kutztown,4164
Mount Pleasant borough,4161
Farrell,4160
North Braddock,4153
Jackson township,4149
Sharpsville,4147
Salem township,4147
Lansford,4145
Little Britain,4144
Brown township,4143
Danville,4140
Akron,4121
Throop,4102
Penn township,4096
Bethel township,4095
Monongahela city,4087
Jersey Shore,4087
Birmingham township,4086
Manor township,4077
Pine Grove township,4065
Pennsburg,4057
Conneaut township,4049
Fleetwood,4046
Armagh township,4045
North East borough,4043
Salem township,4042
Heidelberg township,4040
Fallowfield,4038
West Pikeland,4034
Chester township,4030
Paradise township,4016
Menallen township,4016
Ruscombmanor,4012
Trappe,4009
Carroll Valley,4004
Upper Paxton,3997
Barrett,3994
Union township,3968
Elizabeth township,3967
Tinicum township,3958
Sugarloaf township,3953
Gregg township,3952
Codorus,3948
Tunkhannock township,3946
Colerain township,3944
North Beaver,3943
Chadds Ford,3941
Ridgway borough,3938
East Drumore,3935
Parkesburg,3928
Brookville,3918
Shrewsbury borough,3907
Foster township,3904
Conestoga,3900
Kittanning borough,3887
Frackville,3883
Waterford township,3878
